Arff File, Training Accuracy, Test Accuracy, Learning Rate, Momentum
outputs/filtered-50x50-400k-200d_output.txt,0.766055,0.317241,0.4,0.1
outputs/japanese-50x50-allk-110d_output.txt,0.91875,0.660377,0.4,0.1
outputs/mitchell-50x50-allk-105d_output.txt,0.768,0.285714,0.4,0.1
outputs/japanese-50x50-200k-100d_output.txt,0.89375,0.735849,0.4,0.1
outputs/mitchell-50x50-allk-40d_output.txt,0.6,0.214286,0.4,0.1
outputs/japanese-50x50-allk-100d_output.txt,0.89375,0.735849,0.4,0.1
outputs/japanese-50x50-allk-20d_output.txt,0.75625,0.679245,0.4,0.1
outputs/mitchell-50x50-allk-120d_output.txt,0.776,0.261905,0.4,0.1
outputs/japanese-50x50-allk-200d_output.txt,0.5625,0.113208,0.4,0.1
outputs/japanese-50x50-allk-75d_output.txt,0.925,0.773585,0.4,0.1
outputs/japanese-50x50-allk-50d_output.txt,0.925,0.735849,0.4,0.1
outputs/japanese-50x50-allk-85d_output.txt,0.925,0.773585,0.4,0.1
outputs/mitchell-50x50-allk-110d_output.txt,0.664,0.285714,0.4,0.1
outputs/japanese-50x50-allk-175d_output.txt,0.68125,0.207547,0.4,0.1
outputs/mitchell-50x50-allk-45d_output.txt,0.64,0.309524,0.4,0.1
outputs/filtered-50x50-100k-50d_output.txt,0.380734,0.193103,0.4,0.1
outputs/japanese-50x50-allk-30d_output.txt,0.9,0.660377,0.4,0.1
outputs/japanese-50x50-allk-180d_output.txt,0.80625,0.226415,0.4,0.1
outputs/japanese-50x50-allk-80d_output.txt,0.89375,0.773585,0.4,0.1
outputs/japanese-50x50-allk-5d_output.txt,0.1375,0.169811,0.4,0.1
outputs/mitchell-50x50-allk-15d_output.txt,0.248,0.261905,0.4,0.1
outputs/japanese-50x50-allk-10d_output.txt,0.6,0.528302,0.4,0.1
outputs/mitchell-50x50-allk-5d_output.txt,0.248,0.214286,0.4,0.1
outputs/japanese-50x50-100k-50d_output.txt,0.9,0.660377,0.4,0.1
outputs/japanese-50x50-allk-210d_output.txt,0.59375,0.150943,0.4,0.1
outputs/japanese-50x50-allk-155d_output.txt,0.81875,0.283019,0.4,0.1
outputs/japanese-50x50-allk-170d_output.txt,0.80625,0.339623,0.4,0.1
outputs/japanese-50x50-allk-135d_output.txt,0.86875,0.45283,0.4,0.1
outputs/mitchell-50x50-allk-30d_output.txt,0.464,0.166667,0.4,0.1
outputs/japanese-50x50-allk-65d_output.txt,0.9625,0.849057,0.4,0.1
outputs/mitchell-50x50-allk-25d_output.txt,0.432,0.309524,0.4,0.1
outputs/mitchell-50x50-allk-65d_output.txt,0.712,0.214286,0.4,0.1
outputs/filtered-50x50-200k-100d_output.txt,0.644495,0.365517,0.4,0.1
outputs/mitchell-50x50-allk-100d_output.txt,0.776,0.166667,0.4,0.1
outputs/all-50x50-400k-200d_output.txt,0.67148,0.232432,0.4,0.1
outputs/japanese-50x50-allk-115d_output.txt,0.90625,0.509434,0.4,0.1
outputs/japanese-50x50-allk-90d_output.txt,0.925,0.603774,0.4,0.1
outputs/mitchell-50x50-allk-35d_output.txt,0.464,0.285714,0.4,0.1
outputs/mitchell-50x50-allk-85d_output.txt,0.776,0.166667,0.4,0.1
outputs/mitchell-50x50-allk-55d_output.txt,0.648,0.190476,0.4,0.1
outputs/mitchell-50x50-allk-90d_output.txt,0.768,0.190476,0.4,0.1
outputs/japanese-50x50-allk-145d_output.txt,0.85,0.320755,0.4,0.1
outputs/japanese-50x50-allk-125d_output.txt,0.89375,0.584906,0.4,0.1
outputs/japanese-50x50-allk-160d_output.txt,0.8375,0.320755,0.4,0.1
outputs/mitchell-50x50-allk-75d_output.txt,0.712,0.238095,0.4,0.1
outputs/all-50x50-100k-50d_output.txt,0.263538,0.151351,0.4,0.1
outputs/japanese-50x50-allk-45d_output.txt,0.90625,0.773585,0.4,0.1
outputs/all-50x50-200k-100d_output.txt,0.518051,0.243243,0.4,0.1
outputs/japanese-50x50-allk-25d_output.txt,0.9,0.566038,0.4,0.1
outputs/japanese-50x50-allk-60d_output.txt,0.93125,0.679245,0.4,0.1
outputs/mitchell-50x50-allk-60d_output.txt,0.664,0.261905,0.4,0.1
outputs/mitchell-50x50-allk-95d_output.txt,0.784,0.166667,0.4,0.1
outputs/mitchell-50x50-allk-70d_output.txt,0.736,0.309524,0.4,0.1
outputs/japanese-50x50-allk-185d_output.txt,0.6,0.113208,0.4,0.1
outputs/japanese-50x50-allk-165d_output.txt,0.825,0.207547,0.4,0.1
outputs/japanese-50x50-allk-99v_output.txt,0.86875,0.679245,0.4,0.1
outputs/japanese-50x50-allk-105d_output.txt,0.8875,0.622642,0.4,0.1
outputs/japanese-50x50-allk-150d_output.txt,0.85,0.358491,0.4,0.1
outputs/mitchell-50x50-allk-10d_output.txt,0.256,0.238095,0.4,0.1
outputs/japanese-50x50-allk-130d_output.txt,0.8875,0.490566,0.4,0.1
outputs/japanese-50x50-allk-70d_output.txt,0.93125,0.773585,0.4,0.1
outputs/japanese-50x50-allk-35d_output.txt,0.9,0.716981,0.4,0.1
outputs/japanese-50x50-allk-55d_output.txt,0.9375,0.849057,0.4,0.1
outputs/mitchell-50x50-allk-125d_output.txt,0.808,0.380952,0.4,0.1
outputs/mitchell-50x50-allk-80d_output.txt,0.752,0.166667,0.4,0.1
outputs/japanese-50x50-allk-140d_output.txt,0.69375,0.433962,0.4,0.1
outputs/japanese-50x50-allk-195d_output.txt,0.675,0.283019,0.4,0.1
outputs/mitchell-50x50-allk-115d_output.txt,0.784,0.238095,0.4,0.1
outputs/mitchell-50x50-allk-50d_output.txt,0.592,0.214286,0.4,0.1
outputs/japanese-50x50-allk-95d_output.txt,0.90625,0.679245,0.4,0.1
outputs/japanese-50x50-allk-120d_output.txt,0.89375,0.54717,0.4,0.1
outputs/japanese-50x50-allk-190d_output.txt,0.78125,0.264151,0.4,0.1
outputs/japanese-50x50-allk-40d_output.txt,0.91875,0.641509,0.4,0.1
outputs/mitchell-50x50-allk-20d_output.txt,0.296,0.142857,0.4,0.1
outputs/japanese-50x50-allk-15d_output.txt,0.75,0.54717,0.4,0.1
outputs/japanese-50x50-allk-205d_output.txt,0.45625,0.150943,0.4,0.1
,,0.402766539474
