Arff File, Training Accuracy, Test Accuracy, Learning Rate, Momentum
outputs/japanese-hist-edge-allk-45d_output.txt,0.95,0.584906,0.4,0.0
outputs/filtered-hist-400k-50d_output.txt,0.433566,0.368421,0.4,0.0
outputs/japanese-hist-allk-45d_output.txt,0.90625,0.509434,0.4,0.0
outputs/mitchell-hist-allk-35d_output.txt,0.384,0.261905,0.4,0.0
outputs/japanese-hist-allk-30d_output.txt,0.8625,0.735849,0.4,0.0
outputs/mitchell-hist-allk-80d_output.txt,0.624,0.285714,0.4,0.0
outputs/filtered-hist-edge-400k-50d_output.txt,0.5,0.3,0.4,0.0
outputs/filtered-50x50-100k-50d_output.txt,0.311927,0.131034,0.4,0.0
outputs/all-50x50-200k-100d_output.txt,0.472924,0.227027,0.4,0.0
outputs/mitchell-hist-allk-50d_output.txt,0.568,0.214286,0.4,0.0
outputs/japanese-50x50-allk-180d_output.txt,0.80625,0.264151,0.4,0.0
outputs/filtered-hist-edge-100k-200d_output.txt,0.624126,0.231579,0.4,0.0
outputs/mitchell-50x50-allk-85d_output.txt,0.672,0.214286,0.4,0.0
outputs/japanese-50x50-allk-10d_output.txt,0.51875,0.377358,0.4,0.0
outputs/japanese-hist-edge-allk-85d_output.txt,0.89375,0.566038,0.4,0.0
outputs/mitchell-hist-edge-allk-5d_output.txt,0.296,0.214286,0.4,0.0
outputs/japanese-50x50-allk-210d_output.txt,0.69375,0.132075,0.4,0.0
outputs/japanese-50x50-allk-155d_output.txt,0.86875,0.339623,0.4,0.0
outputs/japanese-hist-allk-75d_output.txt,0.91875,0.735849,0.4,0.0
outputs/mitchell-hist-edge-allk-55d_output.txt,0.264,0.214286,0.4,0.0
outputs/mitchell-hist-edge-allk-85d_output.txt,0.76,0.309524,0.4,0.0
outputs/filtered-50x50-200k-100d_output.txt,0.626147,0.262069,0.4,0.0
outputs/mitchell-hist-edge-allk-40d_output.txt,0.592,0.214286,0.4,0.0
outputs/all-50x50-400k-200d_output.txt,0.700361,0.302703,0.4,0.0
outputs/japanese-hist-edge-allk-80d_output.txt,0.89375,0.735849,0.4,0.0
outputs/mitchell-50x50-allk-95d_output.txt,0.736,0.142857,0.4,0.0
outputs/japanese-hist-allk-55d_output.txt,0.9125,0.735849,0.4,0.0
outputs/mitchell-hist-allk-40d_output.txt,0.584,0.238095,0.4,0.0
outputs/mitchell-50x50-allk-55d_output.txt,0.632,0.261905,0.4,0.0
outputs/japanese-50x50-allk-55d_output.txt,0.90625,0.754717,0.4,0.0
outputs/japanese-50x50-allk-125d_output.txt,0.85625,0.584906,0.4,0.0
outputs/japanese-hist-allk-100d_output.txt,0.95625,0.660377,0.4,0.0
outputs/japanese-50x50-allk-45d_output.txt,0.925,0.716981,0.4,0.0
outputs/japanese-50x50-allk-25d_output.txt,0.88125,0.792453,0.4,0.0
outputs/filtered-hist-200k-200d_output.txt,0.125874,0.1,0.4,0.0
outputs/japanese-50x50-allk-185d_output.txt,0.7875,0.207547,0.4,0.0
outputs/japanese-50x50-allk-165d_output.txt,0.7125,0.320755,0.4,0.0
outputs/mitchell-hist-allk-70d_output.txt,0.656,0.333333,0.4,0.0
outputs/japanese-50x50-allk-150d_output.txt,0.8375,0.471698,0.4,0.0
outputs/japanese-50x50-allk-35d_output.txt,0.90625,0.792453,0.4,0.0
outputs/japanese-50x50-allk-175d_output.txt,0.8375,0.320755,0.4,0.0
outputs/mitchell-hist-edge-allk-95d_output.txt,0.808,0.190476,0.4,0.0
outputs/japanese-50x50-allk-140d_output.txt,0.89375,0.45283,0.4,0.0
outputs/mitchell-hist-edge-allk-70d_output.txt,0.728,0.190476,0.4,0.0
outputs/japanese-50x50-allk-95d_output.txt,0.90625,0.698113,0.4,0.0
outputs/japanese-50x50-allk-75d_output.txt,0.90625,0.660377,0.4,0.0
outputs/japanese-hist-allk-20d_output.txt,0.8,0.622642,0.4,0.0
outputs/mitchell-hist-allk-90d_output.txt,0.728,0.285714,0.4,0.0
outputs/mitchell-50x50-allk-10d_output.txt,0.352,0.166667,0.4,0.0
outputs/japanese-50x50-allk-20d_output.txt,0.85,0.528302,0.4,0.0
outputs/japanese-50x50-allk-110d_output.txt,0.78125,0.584906,0.4,0.0
outputs/mitchell-hist-edge-allk-100d_output.txt,0.832,0.166667,0.4,0.0
outputs/mitchell-hist-allk-30d_output.txt,0.384,0.238095,0.4,0.0
outputs/japanese-50x50-allk-200d_output.txt,0.70625,0.207547,0.4,0.0
outputs/japanese-50x50-allk-85d_output.txt,0.94375,0.773585,0.4,0.0
outputs/filtered-hist-100k-50d_output.txt,0.326923,0.278947,0.4,0.0
outputs/mitchell-hist-edge-allk-25d_output.txt,0.304,0.261905,0.4,0.0
outputs/mitchell-50x50-allk-45d_output.txt,0.584,0.166667,0.4,0.0
outputs/japanese-hist-allk-40d_output.txt,0.91875,0.716981,0.4,0.0
outputs/japanese-50x50-allk-30d_output.txt,0.9,0.811321,0.4,0.0
outputs/japanese-hist-allk-35d_output.txt,0.89375,0.679245,0.4,0.0
outputs/mitchell-50x50-allk-30d_output.txt,0.496,0.166667,0.4,0.0
outputs/filtered-hist-edge-400k-200d_output.txt,0.75,0.305263,0.4,0.0
outputs/japanese-50x50-allk-145d_output.txt,0.8625,0.415094,0.4,0.0
outputs/mitchell-hist-edge-allk-90d_output.txt,0.808,0.285714,0.4,0.0
outputs/mitchell-hist-edge-allk-30d_output.txt,0.344,0.261905,0.4,0.0
outputs/mitchell-hist-edge-allk-15d_output.txt,0.272,0.214286,0.4,0.0
outputs/japanese-50x50-allk-160d_output.txt,0.85,0.339623,0.4,0.0
outputs/filtered-hist-edge-400k-100d_output.txt,0.618881,0.310526,0.4,0.0
outputs/all-50x50-100k-50d_output.txt,0.241877,0.135135,0.4,0.0
outputs/japanese-hist-allk-65d_output.txt,0.925,0.679245,0.4,0.0
outputs/japanese-hist-edge-allk-25d_output.txt,0.8375,0.698113,0.4,0.0
outputs/mitchell-hist-allk-10d_output.txt,0.336,0.119048,0.4,0.0
outputs/japanese-50x50-allk-99v_output.txt,0.86875,0.622642,0.4,0.0
outputs/mitchell-50x50-allk-65d_output.txt,0.712,0.214286,0.4,0.0
outputs/filtered-hist-400k-100d_output.txt,0.624126,0.321053,0.4,0.0
outputs/japanese-50x50-allk-5d_output.txt,0.3375,0.188679,0.4,0.0
outputs/final-filtered-hist-allk-50d_output.txt,0.50454,0.40856,0.4,0.0
outputs/japanese-50x50-allk-205d_output.txt,0.49375,0.132075,0.4,0.0
outputs/japanese-50x50-allk-100d_output.txt,0.89375,0.641509,0.4,0.0
outputs/japanese-hist-edge-allk-5d_output.txt,0.30625,0.207547,0.4,0.0
outputs/mitchell-hist-allk-75d_output.txt,0.728,0.309524,0.4,0.0
outputs/japanese-50x50-allk-170d_output.txt,0.66875,0.339623,0.4,0.0
outputs/filtered-hist-100k-200d_output.txt,0.695804,0.263158,0.4,0.0
outputs/japanese-50x50-allk-50d_output.txt,0.89375,0.641509,0.4,0.0
outputs/mitchell-50x50-allk-125d_output.txt,0.784,0.190476,0.4,0.0
outputs/filtered-hist-edge-100k-100d_output.txt,0.501748,0.2,0.4,0.0
outputs/filtered-hist-edge-100k-50d_output.txt,0.284965,0.226316,0.4,0.0
outputs/japanese-50x50-allk-80d_output.txt,0.875,0.622642,0.4,0.0
outputs/mitchell-hist-allk-100d_output.txt,0.808,0.214286,0.4,0.0
outputs/japanese-hist-edge-allk-75d_output.txt,0.84375,0.603774,0.4,0.0
outputs/mitchell-50x50-allk-15d_output.txt,0.296,0.214286,0.4,0.0
outputs/mitchell-hist-edge-allk-50d_output.txt,0.608,0.142857,0.4,0.0
outputs/mitchell-hist-edge-allk-60d_output.txt,0.592,0.309524,0.4,0.0
outputs/final-filtered-hist-200k-hlle-10d_output.txt,0.216602,0.140078,0.4,0.0
outputs/mitchell-hist-edge-allk-35d_output.txt,0.488,0.261905,0.4,0.0
outputs/mitchell-50x50-allk-105d_output.txt,0.784,0.214286,0.4,0.0
outputs/mitchell-50x50-allk-120d_output.txt,0.864,0.166667,0.4,0.0
outputs/mitchell-50x50-allk-25d_output.txt,0.328,0.190476,0.4,0.0
outputs/japanese-hist-edge-allk-90d_output.txt,0.84375,0.584906,0.4,0.0
outputs/japanese-50x50-allk-115d_output.txt,0.9125,0.509434,0.4,0.0
outputs/japanese-50x50-allk-90d_output.txt,0.94375,0.811321,0.4,0.0
outputs/filtered-hist-200k-100d_output.txt,0.604895,0.336842,0.4,0.0
outputs/japanese-hist-allk-95d_output.txt,0.95,0.679245,0.4,0.0
outputs/mitchell-hist-allk-15d_output.txt,0.352,0.214286,0.4,0.0
outputs/mitchell-hist-allk-85d_output.txt,0.816,0.119048,0.4,0.0
outputs/mitchell-hist-allk-95d_output.txt,0.816,0.238095,0.4,0.0
outputs/mitchell-hist-allk-60d_output.txt,0.624,0.261905,0.4,0.0
outputs/final-filtered-hist-400k-50d_output.txt,0.365759,0.36965,0.4,0.0
outputs/filtered-hist-edge-200k-200d_output.txt,0.632867,0.289474,0.4,0.0
outputs/japanese-50x50-allk-105d_output.txt,0.90625,0.603774,0.4,0.0
outputs/mitchell-50x50-allk-100d_output.txt,0.752,0.119048,0.4,0.0
outputs/japanese-50x50-allk-70d_output.txt,0.925,0.811321,0.4,0.0
outputs/japanese-hist-edge-allk-40d_output.txt,0.8625,0.698113,0.4,0.0
outputs/mitchell-hist-edge-allk-75d_output.txt,0.768,0.261905,0.4,0.0
outputs/mitchell-hist-allk-25d_output.txt,0.32,0.142857,0.4,0.0
