Arff File, Training Accuracy, Test Accuracy, Learning Rate, Momentum
outputs/filtered-50x50-400k-200d_output.txt,0.103211,0.151724,0.8,0.0
outputs/japanese-50x50-allk-110d_output.txt,0.9125,0.735849,0.8,0.0
outputs/mitchell-50x50-allk-105d_output.txt,0.816,0.142857,0.8,0.0
outputs/japanese-50x50-200k-100d_output.txt,0.925,0.735849,0.8,0.0
outputs/mitchell-50x50-allk-40d_output.txt,0.616,0.261905,0.8,0.0
outputs/japanese-50x50-allk-100d_output.txt,0.93125,0.716981,0.8,0.0
outputs/japanese-50x50-allk-20d_output.txt,0.85625,0.698113,0.8,0.0
outputs/mitchell-50x50-allk-120d_output.txt,0.808,0.119048,0.8,0.0
outputs/japanese-50x50-allk-200d_output.txt,0.125,0.188679,0.8,0.0
outputs/japanese-50x50-allk-75d_output.txt,0.925,0.773585,0.8,0.0
outputs/japanese-50x50-allk-50d_output.txt,0.925,0.735849,0.8,0.0
outputs/japanese-50x50-allk-85d_output.txt,0.93125,0.698113,0.8,0.0
outputs/mitchell-50x50-allk-110d_output.txt,0.784,0.190476,0.8,0.0
outputs/japanese-50x50-allk-175d_output.txt,0.75625,0.169811,0.8,0.0
outputs/mitchell-50x50-allk-45d_output.txt,0.632,0.238095,0.8,0.0
outputs/filtered-50x50-100k-50d_output.txt,0.399083,0.172414,0.8,0.0
outputs/japanese-50x50-allk-30d_output.txt,0.88125,0.754717,0.8,0.0
outputs/japanese-50x50-allk-180d_output.txt,0.20625,0.132075,0.8,0.0
outputs/japanese-50x50-allk-80d_output.txt,0.94375,0.735849,0.8,0.0
outputs/japanese-50x50-allk-5d_output.txt,0.20625,0.207547,0.8,0.0
outputs/mitchell-50x50-allk-15d_output.txt,0.288,0.309524,0.8,0.0
outputs/japanese-50x50-allk-10d_output.txt,0.575,0.377358,0.8,0.0
outputs/mitchell-50x50-allk-5d_output.txt,0.264,0.214286,0.8,0.0
outputs/japanese-50x50-100k-50d_output.txt,0.925,0.716981,0.8,0.0
outputs/japanese-50x50-allk-210d_output.txt,0.14375,0.113208,0.8,0.0
outputs/japanese-50x50-allk-155d_output.txt,0.825,0.377358,0.8,0.0
outputs/japanese-50x50-allk-170d_output.txt,0.25,0.0943396,0.8,0.0
outputs/japanese-50x50-allk-135d_output.txt,0.8875,0.415094,0.8,0.0
outputs/mitchell-50x50-allk-30d_output.txt,0.472,0.285714,0.8,0.0
outputs/japanese-50x50-allk-65d_output.txt,0.95,0.773585,0.8,0.0
outputs/mitchell-50x50-allk-25d_output.txt,0.4,0.238095,0.8,0.0
outputs/mitchell-50x50-allk-65d_output.txt,0.704,0.166667,0.8,0.0
outputs/filtered-50x50-200k-100d_output.txt,0.678899,0.262069,0.8,0.0
outputs/mitchell-50x50-allk-100d_output.txt,0.784,0.190476,0.8,0.0
outputs/all-50x50-400k-200d_output.txt,0.126354,0.178378,0.8,0.0
outputs/japanese-50x50-allk-115d_output.txt,0.86875,0.490566,0.8,0.0
outputs/japanese-50x50-allk-90d_output.txt,0.925,0.735849,0.8,0.0
outputs/mitchell-50x50-allk-35d_output.txt,0.544,0.166667,0.8,0.0
outputs/mitchell-50x50-allk-85d_output.txt,0.776,0.238095,0.8,0.0
outputs/mitchell-50x50-allk-55d_output.txt,0.768,0.261905,0.8,0.0
outputs/mitchell-50x50-allk-90d_output.txt,0.768,0.166667,0.8,0.0
outputs/japanese-50x50-allk-145d_output.txt,0.8875,0.433962,0.8,0.0
outputs/japanese-50x50-allk-125d_output.txt,0.8875,0.584906,0.8,0.0
outputs/japanese-50x50-allk-160d_output.txt,0.8,0.396226,0.8,0.0
outputs/mitchell-50x50-allk-75d_output.txt,0.752,0.261905,0.8,0.0
outputs/all-50x50-100k-50d_output.txt,0.258123,0.124324,0.8,0.0
outputs/japanese-50x50-allk-45d_output.txt,0.8625,0.698113,0.8,0.0
outputs/all-50x50-200k-100d_output.txt,0.429603,0.275676,0.8,0.0
outputs/japanese-50x50-allk-25d_output.txt,0.8875,0.716981,0.8,0.0
outputs/japanese-50x50-allk-60d_output.txt,0.95625,0.830189,0.8,0.0
outputs/mitchell-50x50-allk-60d_output.txt,0.744,0.333333,0.8,0.0
outputs/mitchell-50x50-allk-95d_output.txt,0.792,0.166667,0.8,0.0
outputs/mitchell-50x50-allk-70d_output.txt,0.76,0.285714,0.8,0.0
outputs/japanese-50x50-allk-185d_output.txt,0.15625,0.0943396,0.8,0.0
outputs/japanese-50x50-allk-165d_output.txt,0.14375,0.113208,0.8,0.0
outputs/japanese-50x50-allk-99v_output.txt,0.84375,0.641509,0.8,0.0
outputs/japanese-50x50-allk-105d_output.txt,0.90625,0.641509,0.8,0.0
outputs/japanese-50x50-allk-150d_output.txt,0.63125,0.358491,0.8,0.0
outputs/mitchell-50x50-allk-10d_output.txt,0.28,0.285714,0.8,0.0
outputs/japanese-50x50-allk-130d_output.txt,0.8625,0.660377,0.8,0.0
outputs/japanese-50x50-allk-70d_output.txt,0.91875,0.830189,0.8,0.0
outputs/japanese-50x50-allk-35d_output.txt,0.9,0.716981,0.8,0.0
outputs/japanese-50x50-allk-55d_output.txt,0.91875,0.811321,0.8,0.0
outputs/mitchell-50x50-allk-125d_output.txt,0.776,0.261905,0.8,0.0
outputs/mitchell-50x50-allk-80d_output.txt,0.744,0.238095,0.8,0.0
outputs/japanese-50x50-allk-140d_output.txt,0.875,0.603774,0.8,0.0
outputs/japanese-50x50-allk-195d_output.txt,0.13125,0.0943396,0.8,0.0
outputs/mitchell-50x50-allk-115d_output.txt,0.832,0.261905,0.8,0.0
outputs/mitchell-50x50-allk-50d_output.txt,0.736,0.190476,0.8,0.0
outputs/japanese-50x50-allk-95d_output.txt,0.95625,0.773585,0.8,0.0
outputs/japanese-50x50-allk-120d_output.txt,0.88125,0.490566,0.8,0.0
outputs/japanese-50x50-allk-190d_output.txt,0.2375,0.113208,0.8,0.0
outputs/japanese-50x50-allk-40d_output.txt,0.91875,0.735849,0.8,0.0
outputs/mitchell-50x50-allk-20d_output.txt,0.4,0.285714,0.8,0.0
outputs/japanese-50x50-allk-15d_output.txt,0.74375,0.622642,0.8,0.0
outputs/japanese-50x50-allk-205d_output.txt,0.1625,0.207547,0.8,0.0
,,0.400969181579
