Learning rate	Momentum	Hidden Layers	Nodes per layer	Stopping criteria	
0.1	0.9	1	2Xdimensions	misclassification window of 20	 stop if previous <= current
Arff File	 Training Accuracy	 Test Accuracy			
outputs/filtered-50x50-400k-200d_output.txt	0.107798	0.144828			
outputs/japanese-50x50-allk-110d_output.txt	0.1625	0.188679			
outputs/mitchell-50x50-allk-105d_output.txt	0.256	0.190476			
outputs/japanese-50x50-200k-100d_output.txt	0.1625	0.207547			
outputs/mitchell-50x50-allk-40d_output.txt	0	0			
outputs/japanese-50x50-allk-100d_output.txt	0.14375	0.169811			
outputs/japanese-50x50-allk-20d_output.txt	0.83125	0.716981			
outputs/mitchell-50x50-allk-120d_output.txt	0	0			
outputs/japanese-50x50-allk-200d_output.txt	0.15625	0.113208			
outputs/japanese-50x50-allk-75d_output.txt	0.13125	0.169811			
outputs/japanese-50x50-allk-50d_output.txt	0.13125	0.169811			
outputs/japanese-50x50-allk-85d_output.txt	0.1125	0.226415			
outputs/mitchell-50x50-allk-110d_output.txt	0.24	0.214286			
outputs/japanese-50x50-allk-175d_output.txt	0.15625	0.188679			
outputs/mitchell-50x50-allk-45d_output.txt	0.464	0.261905			
outputs/filtered-50x50-100k-50d_output.txt	0.12844	0.110345			
outputs/japanese-50x50-allk-30d_output.txt	0.89375	0.716981			
outputs/japanese-50x50-allk-180d_output.txt	0.11875	0.207547			
outputs/japanese-50x50-allk-80d_output.txt	0.1625	0.113208			
outputs/japanese-50x50-allk-5d_output.txt	0.275	0.226415			
outputs/mitchell-50x50-allk-15d_output.txt	0.408	0.261905			
outputs/japanese-50x50-allk-10d_output.txt	0.5375	0.490566			
outputs/mitchell-50x50-allk-5d_output.txt	0.336	0.166667			
outputs/japanese-50x50-100k-50d_output.txt	0.13125	0.150943			
outputs/japanese-50x50-allk-210d_output.txt	0.15625	0.188679			
outputs/japanese-50x50-allk-155d_output.txt	0.13125	0.169811			
outputs/japanese-50x50-allk-170d_output.txt	0.18125	0.132075			
outputs/japanese-50x50-allk-135d_output.txt	0.14375	0.132075			
outputs/mitchell-50x50-allk-30d_output.txt	0.52	0.190476			
outputs/japanese-50x50-allk-65d_output.txt	0.10625	0.226415			
outputs/mitchell-50x50-allk-25d_output.txt	0.336	0.261905			
outputs/mitchell-50x50-allk-65d_output.txt	0	0			
outputs/filtered-50x50-200k-100d_output.txt	0.126147	0.117241			
outputs/mitchell-50x50-allk-100d_output.txt	0.296	0.190476			
outputs/all-50x50-400k-200d_output.txt	0.155235	0.118919			
outputs/japanese-50x50-allk-115d_output.txt	0.1375	0.132075			
outputs/japanese-50x50-allk-90d_output.txt	0.14375	0.169811			
outputs/mitchell-50x50-allk-35d_output.txt	0.512	0.166667			
outputs/mitchell-50x50-allk-85d_output.txt	0.272	0.238095			
outputs/mitchell-50x50-allk-55d_output.txt	0.008	0			
outputs/mitchell-50x50-allk-90d_output.txt	0	0			
outputs/japanese-50x50-allk-145d_output.txt	0.1625	0.113208			
outputs/japanese-50x50-allk-125d_output.txt	0.20625	0.0754717			
outputs/japanese-50x50-allk-160d_output.txt	0.15625	0.132075			
outputs/mitchell-50x50-allk-75d_output.txt	0	0			
outputs/all-50x50-100k-50d_output.txt	0.142599	0.102703			
outputs/japanese-50x50-allk-45d_output.txt	0.91875	0.754717			
outputs/all-50x50-200k-100d_output.txt	0.142599	0.12973			
outputs/japanese-50x50-allk-25d_output.txt	0.79375	0.641509			
outputs/japanese-50x50-allk-60d_output.txt	0.225	0.207547			
outputs/mitchell-50x50-allk-60d_output.txt	0.2	0.357143			
outputs/mitchell-50x50-allk-95d_output.txt	0.224	0.285714			
outputs/mitchell-50x50-allk-70d_output.txt	0	0			
outputs/japanese-50x50-allk-185d_output.txt	0.11875	0.169811			
outputs/japanese-50x50-allk-165d_output.txt	0.15625	0.113208			
outputs/japanese-50x50-allk-99v_output.txt	0.14375	0.188679			
outputs/japanese-50x50-allk-105d_output.txt	0.1375	0.169811			
outputs/japanese-50x50-allk-150d_output.txt	0.09375	0.245283			
outputs/mitchell-50x50-allk-10d_output.txt	0.328	0.166667			
outputs/japanese-50x50-allk-130d_output.txt	0.15625	0.113208			
outputs/japanese-50x50-allk-70d_output.txt	0.1625	0.0943396			
outputs/japanese-50x50-allk-35d_output.txt	0.9375	0.773585			
outputs/japanese-50x50-allk-55d_output.txt	0.925	0.792453			
outputs/mitchell-50x50-allk-125d_output.txt	0.264	0.214286			
outputs/mitchell-50x50-allk-80d_output.txt	0.256	0.238095			
outputs/japanese-50x50-allk-140d_output.txt	0.15625	0.113208			
outputs/japanese-50x50-allk-195d_output.txt	0.1375	0.169811			
outputs/mitchell-50x50-allk-115d_output.txt	0.296	0.214286			
outputs/mitchell-50x50-allk-50d_output.txt	0.256	0.214286			
outputs/japanese-50x50-allk-95d_output.txt	0.125	0.188679			
outputs/japanese-50x50-allk-120d_output.txt	0.14375	0.132075			
outputs/japanese-50x50-allk-190d_output.txt	0.15	0.132075			
outputs/japanese-50x50-allk-40d_output.txt	0.91875	0.716981			
outputs/mitchell-50x50-allk-20d_output.txt	0.336	0.285714			
outputs/japanese-50x50-allk-15d_output.txt	0.78125	0.603774			
outputs/japanese-50x50-allk-205d_output.txt	0.14375	0.207547			
	0.2574614211	0.2223607013			
