Arff File, Training Accuracy, Test Accuracy, Learning Rate, Momentum
outputs/filtered-50x50-400k-200d_output.txt,0.12156,0.0896552,0.8,0.5
outputs/japanese-50x50-allk-110d_output.txt,0.14375,0.0943396,0.8,0.5
outputs/mitchell-50x50-allk-105d_output.txt,0.016,0.047619,0.8,0.5
outputs/japanese-50x50-200k-100d_output.txt,0.125,0.207547,0.8,0.5
outputs/mitchell-50x50-allk-40d_output.txt,0.752,0.166667,0.8,0.5
outputs/japanese-50x50-allk-100d_output.txt,0.2,0.188679,0.8,0.5
outputs/japanese-50x50-allk-20d_output.txt,0.875,0.830189,0.8,0.5
outputs/mitchell-50x50-allk-120d_output.txt,0.24,0.309524,0.8,0.5
outputs/japanese-50x50-allk-200d_output.txt,0.125,0.207547,0.8,0.5
outputs/japanese-50x50-allk-75d_output.txt,0.93125,0.754717,0.8,0.5
outputs/japanese-50x50-allk-50d_output.txt,0.9125,0.660377,0.8,0.5
outputs/japanese-50x50-allk-85d_output.txt,0.175,0.0754717,0.8,0.5
outputs/mitchell-50x50-allk-110d_output.txt,0.264,0.333333,0.8,0.5
outputs/japanese-50x50-allk-175d_output.txt,0.14375,0.132075,0.8,0.5
outputs/mitchell-50x50-allk-45d_output.txt,0.744,0.142857,0.8,0.5
outputs/filtered-50x50-100k-50d_output.txt,0.376147,0.144828,0.8,0.5
outputs/japanese-50x50-allk-30d_output.txt,0.93125,0.735849,0.8,0.5
outputs/japanese-50x50-allk-180d_output.txt,0.15625,0.0943396,0.8,0.5
outputs/japanese-50x50-allk-80d_output.txt,0.95,0.622642,0.8,0.5
outputs/japanese-50x50-allk-5d_output.txt,0.375,0.226415,0.8,0.5
outputs/mitchell-50x50-allk-15d_output.txt,0.304,0.285714,0.8,0.5
outputs/japanese-50x50-allk-10d_output.txt,0.5375,0.415094,0.8,0.5
outputs/mitchell-50x50-allk-5d_output.txt,0.304,0.119048,0.8,0.5
outputs/japanese-50x50-100k-50d_output.txt,0.93125,0.679245,0.8,0.5
outputs/japanese-50x50-allk-210d_output.txt,0.14375,0.150943,0.8,0.5
outputs/japanese-50x50-allk-155d_output.txt,0.16875,0.0943396,0.8,0.5
outputs/japanese-50x50-allk-170d_output.txt,0.15625,0.0943396,0.8,0.5
outputs/japanese-50x50-allk-135d_output.txt,0.15625,0.132075,0.8,0.5
outputs/mitchell-50x50-allk-30d_output.txt,0.472,0.309524,0.8,0.5
outputs/japanese-50x50-allk-65d_output.txt,0.91875,0.660377,0.8,0.5
outputs/mitchell-50x50-allk-25d_output.txt,0.432,0.166667,0.8,0.5
outputs/mitchell-50x50-allk-65d_output.txt,0.72,0.214286,0.8,0.5
outputs/filtered-50x50-200k-100d_output.txt,0.112385,0.124138,0.8,0.5
