@RELATION emotion

@ATTRIBUTE Dimension_0 CONTINUOUS
@ATTRIBUTE Dimension_1 CONTINUOUS
@ATTRIBUTE Dimension_2 CONTINUOUS
@ATTRIBUTE Dimension_3 CONTINUOUS
@ATTRIBUTE Dimension_4 CONTINUOUS
@ATTRIBUTE Dimension_5 CONTINUOUS
@ATTRIBUTE Dimension_6 CONTINUOUS
@ATTRIBUTE Dimension_7 CONTINUOUS
@ATTRIBUTE Dimension_8 CONTINUOUS
@ATTRIBUTE Dimension_9 CONTINUOUS
@ATTRIBUTE Dimension_10 CONTINUOUS
@ATTRIBUTE Dimension_11 CONTINUOUS
@ATTRIBUTE Dimension_12 CONTINUOUS
@ATTRIBUTE Emotion {happy, sad, angry, surprised, scared, disgusted, neutral}

@DATA
-0.0341643041432, 0.0694461570925, -0.0996489063353, 0.0382324737399, 0.00341351540578, -0.0488247375826, -0.00984190701361, 0.0193405587698, 0.017978704164, 0.00887566564672, 0.0168524718727, -0.0139389860131, 0.00561185081147, happy
0.00826354480339, 0.00894347309585, 0.00573339894457, -0.0658761474995, -0.0185880292971, -0.00451725717187, 0.0193317977556, 0.0355764435874, -0.0186343933071, -0.0155649317709, 0.0185307154822, -0.0133707939988, -0.0567536888763, happy
-0.00787065326359, 0.0177555347013, 0.0112483382143, -0.0208354652523, -0.0152234879478, 0.0343389444665, 0.0112707277448, 0.00833402130486, -0.00922768194547, -0.0348577498276, 0.0271176998786, 0.0165888407851, 0.0419627470523, disgusted
-0.0385723054422, -0.0736932371029, -0.0551898357063, -0.00845894114291, 0.00102794973274, 0.0102433023158, 0.0220251444772, -0.0304253202623, 0.0418322069777, 0.00731149758393, 0.00660379232852, -0.0322883204627, -0.00848457476786, scared
-0.0182210424818, 0.0186812786122, 0.0244792929528, 0.0271484714503, -0.0112734132202, 0.00779373589803, -0.0244675771412, -0.0300064562242, -0.000337152964889, 0.0117668180382, 0.0153345187028, 0.032970547337, -0.0432452399439, surprised
-0.0191344248003, 0.0225333317274, 0.0735297575246, 0.082723398664, -0.0159271320327, -0.0755094470715, 0.167031527559, -0.0497924520169, 0.000982692604517, -0.044014143977, -0.0404731681572, -0.0697184781411, -0.0643008917303, scared
0.0396553767163, 0.000689297318669, 0.00393631807151, -0.0510767311282, -0.0123777360391, -0.0494985304073, -0.00950209509255, -0.017001323834, 0.00516327771962, 0.0135216911254, -0.00588734534052, -0.00355711616879, -0.00147276976137, neutral
0.0175802026125, 0.00955160732062, 0.0095730188842, -0.0678852891965, -0.0216915026248, -0.0405278358268, 0.00246662705088, 0.000201549676626, 0.0127793322384, 0.0117494948567, -0.0133254216568, 0.0112853546332, 0.00897352631353, happy
0.0379950227478, 0.00373765919938, 0.0117738677009, -0.0973267993913, -0.0107212695899, -0.13171635, -0.0353330058782, -0.0797368833038, 0.0281061608694, -0.0402931845313, -0.0172151824648, 0.0387786488039, 0.0462721212553, disgusted
0.000146605968223, 0.00281267142348, 0.0137677013747, -0.0226770220109, -0.00678457200076, -0.0119770715129, -0.00930787811847, -0.00194307776303, -0.015634607306, 0.0108779291369, 0.0143218251114, -0.0172810951134, 0.00221244729938, disgusted
0.0250993083286, -0.000171675345701, 0.018780590235, 0.0022328469667, 0.152771240913, 0.0175598680166, -0.0134839853048, 0.0305566718242, 0.049998651599, -0.0251668993939, -0.0136251319423, 0.0141842256099, -0.0110822017179, sad
-0.0104411766113, 0.0370464260398, 0.00711249671757, -0.00532419997169, -0.0258551397295, 0.0339236331926, 0.00582169141451, 0.00170813022851, 0.0523471932316, -0.00969100308141, -0.00154592039203, 0.0616587318454, 0.0568866548058, happy
-0.00112195883398, -0.0014756464963, 0.0325675909368, 0.0273186281245, 0.0427565713925, -0.00787221704771, 0.014366179792, -0.000134282013663, 0.00317241770508, -0.0049879790607, 6.91763704463e-05, 0.0191299896737, -0.0153585780748, happy
0.00212648587466, 0.0118961459202, 0.0461985798592, 0.0524639892515, 0.0126548222564, -0.0453426602688, 0.141462932724, -0.0147675529851, 0.0168007186596, -0.0188029077815, -0.0363395613324, -0.00692273908621, 0.0204214620302, disgusted
0.00182530197596, 0.00172396404833, 0.0334194822053, 0.0271610885344, 0.0646400805112, -0.00685768824399, 0.0173236138238, 0.00300815716127, 0.012549024488, -0.00958241070599, -0.000499107235932, 0.0274059171659, -0.0219453041413, scared
-0.0407612893382, -0.124032382049, -0.00467982887332, 0.000243745423385, -0.0195567460136, 0.00254678665791, -0.00583642456404, 0.0074867840269, 0.0460011142278, -0.0111218284939, -0.021897758942, -0.0037490725091, 0.00523406674848, neutral
-0.0300049210425, 0.0351315368111, -0.114891761522, -0.00571364536252, 0.0294116348843, 0.00370818165018, 0.0234885181221, -0.0384640051843, -0.0480044797716, 0.0168337305044, -0.00873806779101, 0.00241575102858, -0.0217472056155, scared
0.0227003930815, 0.000374975688882, 0.0213322752828, 0.00337998167226, 0.173057675365, 0.0195650804192, -0.0159644036652, 0.0334670044842, 0.0603576484163, -0.0313549285326, -0.017820018638, 0.0193775303896, -0.00729695515552, happy
-0.0320430410406, 0.118202973403, -0.111340937209, 0.0584436349878, -0.00358675459068, -0.0790936578731, 0.00131233650523, 0.0481345149395, 0.0652062355209, -0.00784494798546, 0.0432264808409, -0.0394603355948, 0.0198735464822, surprised
0.0284018388412, 0.0031088213402, 0.00656927446925, -0.0548467017274, 0.00133914702956, -0.0129333131542, 0.0101456677615, 0.0369023967833, -0.0145675766938, 0.0241671747035, 0.0202194626129, -0.0428858946579, -0.0903609034631, happy
