@RELATION emotion

@ATTRIBUTE Dimension_0 CONTINUOUS
@ATTRIBUTE Dimension_1 CONTINUOUS
@ATTRIBUTE Dimension_2 CONTINUOUS
@ATTRIBUTE Dimension_3 CONTINUOUS
@ATTRIBUTE Dimension_4 CONTINUOUS
@ATTRIBUTE Dimension_5 CONTINUOUS
@ATTRIBUTE Dimension_6 CONTINUOUS
@ATTRIBUTE Dimension_7 CONTINUOUS
@ATTRIBUTE Dimension_8 CONTINUOUS
@ATTRIBUTE Dimension_9 CONTINUOUS
@ATTRIBUTE Dimension_10 CONTINUOUS
@ATTRIBUTE Dimension_11 CONTINUOUS
@ATTRIBUTE Dimension_12 CONTINUOUS
@ATTRIBUTE Dimension_13 CONTINUOUS
@ATTRIBUTE Dimension_14 CONTINUOUS
@ATTRIBUTE Dimension_15 CONTINUOUS
@ATTRIBUTE Dimension_16 CONTINUOUS
@ATTRIBUTE Dimension_17 CONTINUOUS
@ATTRIBUTE Dimension_18 CONTINUOUS
@ATTRIBUTE Dimension_19 CONTINUOUS
@ATTRIBUTE Dimension_20 CONTINUOUS
@ATTRIBUTE Emotion {happy, sad, angry, surprised, scared, disgusted, neutral}

@DATA
-0.0562245172268, 0.00832245671727, -0.00966205605168, -0.0750292393841, 0.060361973102, 0.0136171591035, -0.0142734674864, -0.0860095535177, -0.0206463017637, 0.0207553446436, -0.0392416357703, -0.128959931652, 0.00935251767041, -0.0152667341863, 0.00979290005329, -0.00546495507173, -0.0233198696838, 0.00199191073559, -0.0277923885706, -0.02747032537, 0.0458254494969, happy
0.0141416169498, -0.0691974654096, -0.0066592970104, -0.0108844443715, -0.0299344705291, -0.0354152776958, 0.0506807676247, 0.00755348326153, 0.0168867174673, 0.00865110552013, -0.0131855535739, -0.00907694192877, 0.00932417799378, 0.0412815270698, -0.0201440788783, 0.00574792029849, -0.0122670403625, 0.0115949742105, 0.0618805428886, -0.0290163735061, -0.00464871609328, happy
-0.00661389791072, -0.0148346885047, -0.0104142387426, 0.0137496589133, -0.0170439080288, 0.0197537968567, 0.0259602577427, -0.0189263689835, 0.0368767333277, -0.00503939043332, -0.020706209295, -0.00833416999049, -0.0417121943844, -0.0213353771701, 0.0441144912409, 0.0473605661313, -0.0229543055741, -0.0375020041604, 0.00625412709087, -0.0159466225965, -0.0705921126359, disgusted
-0.0604133203292, -0.0193738760055, 0.0925600296299, 0.0675237731534, 0.00331685367034, 0.000305408144818, -0.0127551437837, -0.0949800944703, -0.0116701356604, 0.00534305256636, -0.019320088742, 0.0469613151992, -0.109940279043, 0.011928349007, -0.0490365082967, -0.0708861756453, -0.00526662115394, 0.0271363522794, 0.000463704185553, 0.0526434985217, 0.00596958534267, scared
-0.0169571108778, 0.0153242044633, -0.0300358730616, -0.00309138593001, 0.0166742668511, -0.00959610959444, 0.000825404656155, 0.00315473233694, -0.0486369031567, 0.0249270167631, -0.00398376422344, 0.00498016432882, 0.00201737872309, 0.00169017754032, 0.0084017756345, 0.0215220344968, -0.031123103994, 0.00822265039472, 0.0280829670418, -0.00849654113968, 0.0375168517599, surprised
-0.0138512841244, 0.0599017610075, -0.0457340787055, 0.0828384004762, 0.0481157891523, -0.119723239323, 0.0400049762228, 0.02485903949, 0.0109221200609, -0.00272457970551, -0.0309258647662, -0.00170470612713, 0.0315849721637, 0.0858886897948, 0.0573393109364, -0.0625112660205, -0.0344881412321, 0.0143799324985, -0.0655691523181, -0.101721679489, 0.0537610267965, scared
0.049299665449, -0.0471118126683, 0.00167855682056, -0.00591568337297, 0.0172653839567, -0.0310950468967, -0.0525718987189, 0.0045061890012, 0.00417776803793, -0.0137182824418, -0.0044035333664, -0.00754914212599, -0.000571496180271, 0.00267351047994, -0.0460020413715, 0.0048747835626, -0.0201753118002, -0.0364674515248, 0.00929260581958, 0.0212928948443, 0.00667208503118, neutral
0.0222215889299, -0.0774610162644, -0.00965512639596, -0.0062017185829, -0.0121573233377, -0.046044423401, -0.0221763200713, 0.0135075177797, -0.0292476214402, -0.0853164463374, -0.0146405873069, -0.0289259971893, 0.0198803195882, 0.0584932774574, -0.0819620769975, 0.0234857466943, -0.0297116342522, 0.0675976645673, 0.0509492594813, -0.0702128204131, -0.0508015276294, happy
0.0513924715011, -0.0407897735015, 0.00781850631723, -0.00942196031222, 0.0203290802905, -0.0381482851966, -0.11390493982, -0.000618615745561, 0.0643960164808, 0.168349914399, 0.0104614404133, 0.0274851337849, 0.00350118822794, 0.00819204647857, 0.0371469853292, 0.00262486276949, 0.0163302013762, 0.00227791474515, 0.00336274368245, 0.000660722036314, 0.00882269616315, disgusted
0.00602098598077, -0.0176011523076, -0.0128058054698, 0.000245031508641, -0.00884218823634, -0.00463152199161, 0.0171597197798, 0.00781346964234, 0.0245462805372, 0.0126061340497, 0.0178080465205, -0.0159200859902, 0.00903242073411, -0.0425751757243, -0.0307216311565, -0.0231082707707, 0.0112806397176, -0.00294016462943, 0.0118655549908, 0.0244766530548, 0.0306035351077, disgusted
0.0482884838881, 0.0925507422093, 0.0285192090138, -0.00542260831291, -0.11180715794, 0.0102490946757, -0.0412954871682, -0.0343408708222, -0.0108907734512, -0.0154563528181, 0.0205697059517, -0.040304782285, 0.00275308912136, 0.0145238779368, 0.0334473034813, -0.00821452033161, 0.00787489299694, 0.0051802587903, 0.00264783993105, 0.00272078154276, 0.0129474888969, sad
