@RELATION emotion

@ATTRIBUTE Dimension_0 CONTINUOUS
@ATTRIBUTE Dimension_1 CONTINUOUS
@ATTRIBUTE Dimension_2 CONTINUOUS
@ATTRIBUTE Dimension_3 CONTINUOUS
@ATTRIBUTE Dimension_4 CONTINUOUS
@ATTRIBUTE Dimension_5 CONTINUOUS
@ATTRIBUTE Dimension_6 CONTINUOUS
@ATTRIBUTE Dimension_7 CONTINUOUS
@ATTRIBUTE Dimension_8 CONTINUOUS
@ATTRIBUTE Dimension_9 CONTINUOUS
@ATTRIBUTE Dimension_10 CONTINUOUS
@ATTRIBUTE Dimension_11 CONTINUOUS
@ATTRIBUTE Dimension_12 CONTINUOUS
@ATTRIBUTE Emotion {happy, sad, angry, surprised, scared, disgusted, neutral}

@DATA
-0.0341643041432, 0.0694461570925, -0.0996489063353, 0.0382324737399, 0.00341351540578, -0.0488247375826, -0.00984190701361, 0.0193405587698, 0.017978704164, 0.00887566564672, 0.0168524718727, -0.0139389860131, 0.00561185081147, happy
0.00826354480339, 0.00894347309585, 0.00573339894457, -0.0658761474995, -0.0185880292971, -0.00451725717187, 0.0193317977556, 0.0355764435874, -0.0186343933071, -0.0155649317709, 0.0185307154822, -0.0133707939988, -0.0567536888763, happy
0.0175802026125, 0.00955160732062, 0.0095730188842, -0.0678852891965, -0.0216915026248, -0.0405278358268, 0.00246662705088, 0.000201549676626, 0.0127793322384, 0.0117494948567, -0.0133254216568, 0.0112853546332, 0.00897352631353, happy
0.0250993083286, -0.000171675345701, 0.018780590235, 0.0022328469667, 0.152771240913, 0.0175598680166, -0.0134839853048, 0.0305566718242, 0.049998651599, -0.0251668993939, -0.0136251319423, 0.0141842256099, -0.0110822017179, sad
-0.0104411766113, 0.0370464260398, 0.00711249671757, -0.00532419997169, -0.0258551397295, 0.0339236331926, 0.00582169141451, 0.00170813022851, 0.0523471932316, -0.00969100308141, -0.00154592039203, 0.0616587318454, 0.0568866548058, happy
-0.00112195883398, -0.0014756464963, 0.0325675909368, 0.0273186281245, 0.0427565713925, -0.00787221704771, 0.014366179792, -0.000134282013663, 0.00317241770508, -0.0049879790607, 6.91763704463e-05, 0.0191299896737, -0.0153585780748, happy
0.0227003930815, 0.000374975688882, 0.0213322752828, 0.00337998167226, 0.173057675365, 0.0195650804192, -0.0159644036652, 0.0334670044842, 0.0603576484163, -0.0313549285326, -0.017820018638, 0.0193775303896, -0.00729695515552, happy
0.0284018388412, 0.0031088213402, 0.00656927446925, -0.0548467017274, 0.00133914702956, -0.0129333131542, 0.0101456677615, 0.0369023967833, -0.0145675766938, 0.0241671747035, 0.0202194626129, -0.0428858946579, -0.0903609034631, happy
-0.0357267053661, -0.0229130647674, -0.0928638450814, -0.0111744493788, 0.0166371380053, 0.00990721366802, 0.0282125219418, -0.0390319807497, -0.00507591060452, 0.0123173871556, -0.00328392418345, -0.0153699177282, -0.0180931972476, sad
0.0165867241532, 0.00218700323747, 0.0055393575171, -0.0462595797758, -0.00550749869104, -0.0332826187658, -0.00748411214589, -0.00731276046064, -0.00273356066604, 0.00148058799833, 0.00102938878094, -0.0035727736443, -0.0061383243659, sad
-0.00963657559727, 0.00474286902138, 0.0168446161542, 0.00598381738339, 0.0129933695197, 0.00943297690476, -0.0101945465321, -0.015905871646, -0.0359732609473, 0.011458704613, 0.0291614451767, -0.016381509237, 0.0321852203241, sad
-0.0187304611948, 0.0142393102944, 0.0247762331411, 0.0322638281153, -0.0100634185324, -0.00561859040107, -0.0204285105128, -0.0154226250902, -0.00435595939171, 0.0195670687857, 0.0407375820866, 0.0549927305941, -0.0433365265515, sad
-0.0300239402665, 0.0212567609076, -0.00694471893294, 0.0573595850258, -0.0272532747613, -0.050201959741, -0.021033573976, 0.0318896785859, 0.073803844477, 0.00763786322393, 0.0291300745646, 0.0796537976396, -0.0339767592423, happy
0.0348648359536, 0.00187780365603, 0.00704741558751, -0.0591336642393, -0.00690743878825, -0.055097056928, -0.00908697921734, -0.0118423944048, 0.0088331437759, 0.034101124299, -0.0127041449875, -0.0116914310512, -0.0172761022029, sad
0.000689916094554, -0.000221404023918, 0.00530814082005, -0.00321938672377, 0.0355846854242, 0.0112619978815, -0.0137835687092, -0.0145544084719, -0.0262286222982, 0.0143283112074, 0.0432253032684, -0.0306094661019, 0.0272967188043, sad
0.0318615898417, -0.00151345046559, 0.00157294327124, -0.016916517097, 0.0106426452835, 0.00357835380454, -0.000397137341083, 0.0122514818111, -0.0174233079949, 0.0103022473533, 0.022689526007, -0.0274102128243, -0.02769994797, happy
0.0249342679445, 0.0111424838842, 0.00895682759874, -0.00814522768649, -0.0205692791774, 0.0177348405294, 0.0341792739739, 0.0437268437637, 0.0371904571318, 0.108411680127, -0.0431165593419, 0.0184139012164, 0.035340333144, happy
-0.0212889313766, -0.0147473210072, -0.0203425360196, 0.00591287078582, 0.00857046012915, 3.31765596742e-05, -0.0201959144752, -0.000203020507335, -0.0488245725209, 0.00155338399789, -0.0158460744265, -0.00618024840496, -0.0162441633392, happy
-0.0235371778954, -0.00593285441193, 0.0242711228567, 0.0328416231999, -0.0143190100416, -0.0100170683818, -0.0214933137719, -0.00628333938764, -0.0170292537119, 0.00465652777869, 0.00422465379602, 0.0359607692221, -0.0449007542097, sad
0.0179496547655, 0.00341809180034, -0.0236071338913, -0.0114032475162, 0.0528866834445, 0.0143743698357, 0.00817340705045, 0.0115142328284, -0.0278180295871, -0.00223506591343, -0.0106161466162, 0.007767584511, -0.0568419313668, happy
