@RELATION emotion

@ATTRIBUTE Dimension_0 CONTINUOUS
@ATTRIBUTE Dimension_1 CONTINUOUS
@ATTRIBUTE Dimension_2 CONTINUOUS
@ATTRIBUTE Dimension_3 CONTINUOUS
@ATTRIBUTE Dimension_4 CONTINUOUS
@ATTRIBUTE Dimension_5 CONTINUOUS
@ATTRIBUTE Dimension_6 CONTINUOUS
@ATTRIBUTE Dimension_7 CONTINUOUS
@ATTRIBUTE Dimension_8 CONTINUOUS
@ATTRIBUTE Dimension_9 CONTINUOUS
@ATTRIBUTE Dimension_10 CONTINUOUS
@ATTRIBUTE Dimension_11 CONTINUOUS
@ATTRIBUTE Dimension_12 CONTINUOUS
@ATTRIBUTE Dimension_13 CONTINUOUS
@ATTRIBUTE Dimension_14 CONTINUOUS
@ATTRIBUTE Emotion {happy, sad, angry, surprised, scared, disgusted, neutral}

@DATA
0.0924108148485, 0.0350848225939, 0.0477556055804, 0.0806737667178, 0.0195319844837, -0.0697021258438, -0.0755810755591, 0.026224153824, 0.0265693526108, -0.00548193332215, -0.0530099989285, 0.0572987153836, -0.0336568903576, -0.0493953679374, -0.0809386766464, neutral
-0.102475932347, -0.00293656658389, -0.0659666253551, -0.0193913242008, -0.0336469145262, 0.00314251642555, -0.0399812831299, -0.0401054044512, 0.185062482072, 0.109828160145, -0.0627844086615, 0.0225577334192, 0.00211007476528, 0.0682025118582, -0.145445544519, neutral
0.0688061339746, -0.0376150295246, 0.0562275247031, 0.0503480887769, -0.161712775461, 0.0688952807851, 0.12422092115, 0.0976540630155, 0.0354171376796, 0.043210780739, -0.12619443672, 0.0360610722328, 0.129983185302, -0.0474445132692, 0.0248842387458, angry
0.0642210176649, 0.0801899554327, -0.122478444041, 0.117932653386, -0.0659885560056, -0.0377795036209, -0.114620189051, -0.0313228246594, -0.00170323760513, 0.0108217308742, 0.0970937347827, -0.0208880659956, 0.00625673205431, -0.0390404088876, -0.00329839232206, neutral
-0.0264433017558, -0.0838722089154, 0.0471999902083, 0.0484137599462, 0.0272457241181, 0.0691270198432, -0.0239202463044, 0.0485592198749, -0.0118262752108, -0.0688976326645, -0.0436129798251, -0.0644796822457, -0.161378496104, 0.01703617899, 0.0151839403078, sad
-0.00272798865933, 0.0542923416326, -0.0973953134217, -0.0781844656345, 0.155567676628, 0.0608177836462, -0.0644198681225, 0.0121198218948, -0.0160521476231, 0.0176329961537, -0.0887333633545, -0.05116494645, 0.0306404690342, -0.0202886455016, 0.0224533206541, sad
-0.0787385928248, -0.0133555963728, -0.0795127238222, -0.010119616647, 0.0706656001548, -0.103994726458, 0.0597047206378, -0.0324949410836, 0.119658008396, 0.117450339494, 0.00492376723331, -0.072396293238, -0.0930775462445, -0.095270301747, 0.210483659752, angry
0.030432752412, 0.0807454343846, -0.13715439411, -0.0750609563296, 0.106240227192, -0.0338357593912, -0.0556278949078, 0.0133257296411, 0.0030309238727, -0.00880740700069, 0.0563277976517, -0.0477103590532, 0.100059838122, -0.00751620883629, 0.0578122653367, angry
-0.0832537942287, -0.0279976811388, -0.0036409888281, -0.0333551073772, -0.0654980937672, 0.00799778795894, 0.0516394214557, 0.0720317376334, 0.0433083684331, -0.0315030788182, 0.073578704036, 0.0190833025865, -0.0275195075763, -0.0632991653457, -0.0737260532214, angry
-0.0656341649058, -0.0831946169671, -0.00281211266921, 0.035810564978, 0.00149840842498, -0.130221204325, 0.0384870462106, -0.129800817354, -0.233431782287, 0.0966670497591, 0.0780489708171, 0.140327106151, -0.0505249657454, -0.0649590569171, 0.02899546938, neutral
